Sample,TL.Cq,GAP.Cq,TL.Eff,GAP.eff,Plate,Tarsus,GO,Area/Reserve,State,Lat,Location,TS,Age,Sex,Year,Month,Day,Elevation,abundance,bio13_Hdiff,bio15_Hdiff,bio18_Hdiff,bio13_Fdiff,bio15_Fdiff,bio18_Fdiff
20N01002,14.64,24.86,1.99,1.99,1,21,0.00642,Maxwell NWR,NM,36.5719,23,0.771844892,SY,F,2020,5,23,1836,-1.2,3,0.722984615,4.083333333,-0.375,0.601282047,0.375000033
20N01003,15.1,25.55,1.99,1.99,1,22,0.00642,Maxwell NWR,NM,36.5881,23,0.904562352,ASY,M,2020,5,23,1848,-1.2,3,0.722984615,4.083333333,-0.375,0.601282047,0.375000033
20N01004,14.06,24.72,1.99,1.99,1,21,0.00642,Maxwell NWR,NM,36.5881,23,1.046438924,SY,M,2020,5,24,1848,-1.2,3,0.722984615,4.083333333,-0.375,0.601282047,0.375000033
20N010045,13.95,25,1.99,1.99,1,21,0.01037,"Max's Landing, Wofford Heights",CA,35.7151,8,1.376206053,SY,M,2020,6,9,950,-2.9,6.76,2.617111538,1.25,1.448333333,0.869871793,1.875
20N01005,13.87,24.5,1.99,1.99,1,20,0.00642,Maxwell NWR,NM,36.5882,23,0.962245991,ASY,M,2020,5,24,1857,-1.2,3,0.722984615,4.083333333,-0.375,0.601282047,0.375000033
20N01007,15.11,25.45,1.99,1.99,1,21,0.00642,Maxwell NWR,NM,36.5728,23,0.837072282,ASY,M,2020,5,24,1836,-1.2,3,0.722984615,4.083333333,-0.375,0.601282047,0.375000033
20N01008,15.26,25.72,1.99,1.99,1,22,0.00768,"Gila NF, River Vista",NM,32.8326,20,1.605233497,ASY,M,2020,5,27,1442,0.37,2.96,1.838980769,3.875,1.54,1.559935897,1.125
20N01013,15.08,25.07,1.99,1.99,1,21,0.00768,Gila NF,NM,32.8331,20,0.654688919,ASY,M,2020,5,27,1442,0.37,2.96,1.838980769,3.875,1.54,1.559935897,1.125
20N01017,14.13,24.36,1.99,1.99,1,21,0.00768,Gila NF,NM,32.8314,20,0.780833326,ASY,M,2020,5,28,1442,0.37,2.96,1.838980769,3.875,1.54,1.559935897,1.125
20N01020,13.24,24.13,1.99,1.99,1,21,0.00768,Gila NF,NM,32.8323,20,1.224994848,ASY,M,2020,5,28,1442,0.37,2.96,1.838980769,3.875,1.54,1.559935897,1.125
20N01021,13.32,24.01,1.99,1.99,1,21,0.00768,"Gila NF, River Vista",NM,32.8313,20,1.071711621,ASY,M,2020,5,28,1442,0.37,2.96,1.838980769,3.875,1.54,1.559935897,1.125
20N01024,14.45,24.35,1.99,1.99,1,21,0.00497,Buenos Aires NWR,AZ,31.5266,18,0.615526401,SY,M,2020,5,29,1195,1.98,1.44,1.111523077,2.916666667,-0.481666667,0.92307692,-0.333333367
20N01025,14.6,24.51,1.99,1.99,1,19,0.00497,"Buenos Aires NWR, Arivica Lake",AZ,31.5266,18,0.591235898,ASY,M,2020,5,29,1195,1.98,1.44,1.111523077,2.916666667,-0.481666667,0.92307692,-0.333333367
20N01027,14.18,25,1.99,1.99,1,20,0.00497,"Buenos Aires NWR, Arivica Lake",AZ,31.5252,18,1.166985104,ASY,M,2020,5,31,1195,1.98,1.44,1.111523077,2.916666667,-0.481666667,0.92307692,-0.333333367
20N01028,14.25,24.31,1.99,1.99,1,21,0.00497,Buenos Aires NWR,AZ,31.5266,18,0.689120865,SY,M,2020,5,31,1195,1.98,1.44,1.111523077,2.916666667,-0.481666667,0.92307692,-0.333333367
20N01031,14.07,24.96,1.99,1.99,1,21,0.00497,"Buenos Aires NWR, Arivica Lake",AZ,31.5266,18,1.227253782,ASY,M,2020,5,31,1195,1.98,1.44,1.111523077,2.916666667,-0.481666667,0.92307692,-0.333333367
